;extern;www.riotgames.com/en;www.riotgames.com/en/news;www.riotgames.com/en/news/celebrate-pride-with-your-valorant-community;www.riotgames.com/en/news/why-we-fight-ego-ft-qing-madi-year-5-music-video-valorant;www.riotgames.com/en/news/abilities-smurfing-replays-and-more-dev-updates-valorant;www.riotgames.com/en/news/celebrating-pride-2025;www.riotgames.com/en/news/making-splash-art-in-tft-super-art-power-hour-ep-8;www.riotgames.com/en/work-with-us;www.riotgames.com/en/work-with-us/offices;www.riotgames.com;www.riotgames.com/who-we-are;www.riotgames.com/work-with-us;www.riotgames.com/news;www.riotgames.com/en/press;www.riotgames.com/en/security;www.riotgames.com/en/legal;www.riotgames.com/en/leadership;www.riotgames.com/en/candidate-privacy;www.riotgames.com/en/terms-of-service;www.riotgames.com/en/privacy-notice
extern;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
www.riotgames.com/en/news;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
www.riotgames.com/en/news/celebrate-pride-with-your-valorant-community;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
www.riotgames.com/en/news/why-we-fight-ego-ft-qing-madi-year-5-music-video-valorant;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
www.riotgames.com/en/news/abilities-smurfing-replays-and-more-dev-updates-valorant;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
www.riotgames.com/en/news/celebrating-pride-2025;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
www.riotgames.com/en/news/making-splash-art-in-tft-super-art-power-hour-ep-8;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
www.riotgames.com/en/work-with-us;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
www.riotgames.com/en/work-with-us/offices;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0
www.riotgames.com;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/who-we-are;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/work-with-us;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/news;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/press;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/security;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/legal;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/leadership;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/candidate-privacy;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/terms-of-service;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
www.riotgames.com/en/privacy-notice;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
