;extern;univ-amu.fr;univ-amu.fr/fr;univ-amu.fr/fr/intramu;univ-amu.fr/fr/public/hrs4r-0;univ-amu.fr/fr/public/civis-0;univ-amu.fr/fr/public/le-projet-we4lead;univ-amu.fr/en;univ-amu.fr/fr/public/engagement-contre-les-violences-sexistes-et-sexuelles;univ-amu.fr/fr/public/actualites/amu-decroche-la-troisieme-etoile-du-label-bienvenue-en-france;univ-amu.fr/fr/public/service-pour-le-respect-et-legalite;univ-amu.fr/fr/public/presentation-de-luniversite;univ-amu.fr/fr/public/organisation-daix-marseille-universite;univ-amu.fr/fr/public/composantes-facultes-ecoles-instituts;univ-amu.fr/fr/public/instituts-detablissement-interdisciplinaires-amu;univ-amu.fr/fr/public/developpement-durable-citoyennete;univ-amu.fr/fr/public/biodivamu-0;univ-amu.fr/fr/public/mission-egalite-des-chances-amu;univ-amu.fr/fr/public/egalite-femmes-hommes-lutte-contre-les-discriminations;univ-amu.fr/fr/public/mediateur-de-luniversite;univ-amu.fr/fr/public/culture-scientifique
extern;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/intramu;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/hrs4r-0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/civis-0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/le-projet-we4lead;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/en;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
univ-amu.fr/fr/public/engagement-contre-les-violences-sexistes-et-sexuelles;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/actualites/amu-decroche-la-troisieme-etoile-du-label-bienvenue-en-france;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/service-pour-le-respect-et-legalite;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/presentation-de-luniversite;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/organisation-daix-marseille-universite;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/composantes-facultes-ecoles-instituts;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/instituts-detablissement-interdisciplinaires-amu;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/developpement-durable-citoyennete;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/biodivamu-0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/mission-egalite-des-chances-amu;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/egalite-femmes-hommes-lutte-contre-les-discriminations;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/mediateur-de-luniversite;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
univ-amu.fr/fr/public/culture-scientifique;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
