;extern;youtube.com;youtube.com/t/contact_us;youtube.com/t/terms;youtube.com/t/privacy;youtube.com/new;youtube.com/yt/about;youtube.com/t/community_guidelines;youtube.com/yt/jobs;youtube.com/t/press;youtube.com/t/advertising_overview;youtube.com/t/contentid;youtube.com/yt/dev;youtube.com/t/terms_paidservice;youtube.com/t/usage_paycontent;youtube.com/t/policy_cns;youtube.com/t/copyright_notice;youtube.com/t/privacy?hl=fr;youtube.com/howyoutubeworks;youtube.com/howyoutubeworks/our-commitments/managing-harmful-content;youtube.com/howyoutubeworks/our-commitments/standing-up-to-hate
extern;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
youtube.com;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0
youtube.com/t/contact_us;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/terms;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0
youtube.com/t/privacy;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/new;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/yt/about;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/community_guidelines;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
youtube.com/yt/jobs;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/press;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/advertising_overview;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/contentid;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
youtube.com/yt/dev;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/t/terms_paidservice;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
youtube.com/t/usage_paycontent;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
youtube.com/t/policy_cns;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
youtube.com/t/copyright_notice;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
youtube.com/t/privacy?hl=fr;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/howyoutubeworks;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
youtube.com/howyoutubeworks/our-commitments/managing-harmful-content;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube.com/howyoutubeworks/our-commitments/standing-up-to-hate;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
